Dizi Adı,Senarist,Yönetmen,Başrol,Ülke,Kanal,Durumu,Konu,Sezon Sayısı,Bölüm Sayısı,Yapımcı,Yayın tarihi,Platform,Tema Müziği Bestecisi
"Dilek Taşı, Link",,Altan Dönmez (1-6)Volkan Kocatürk (7-13)Osman Taşcı (14-),Salih BademciHazal SubaşıOzan Dolunay,Türkiye,Kanal D,Devam ediyor,"Dilek Taşı, Pastel Film imzalı, ilk bölümü 7 Eylül 2023 tarihinde yayımlanan, yönetmenliğini Altan Dönmez, Volkan Kocatürk ve Osman Taşcı'nın üstlendiği, senaryosunu Can Sinan'ın kaleme aldığı, tarihî ve dram türündeki Türk yapımı televizyon dizisidir.[1] Başrollerini Salih Bademci, Hazal Subaşı ve Ozan Dolunay paylaşmaktadır.[2]",1,16,Yaşar İrvülEfe İrvül,7 Eylül 2023 - günümüz,,
"Dokuz Oğuz, Link",Süleyman ÇobanoğluGül Güzelkaya,Cem Akyoldaş (1-5)Bülent İşbilen (6),Kubilay AkaDeniz IşınYasemin Allen,Türkiye,FOX,Sona erdi,"Dokuz Oğuz, Gold Film imzalı, ilk bölümü 28 Ocak 2023 tarihinde yayımlanan, yönetmenliğini Cem Akyoldaş ve Bülent İşbilen'in üstlendiği, senaryosunu Süleyman Çobanoğlu ve Gül Güzelkaya'nın kaleme aldığı aksiyon ve dram türündeki Türk televizyon dizisidir. Başrollerini Kubilay Aka, Deniz Işın ve Yasemin Allen paylaşmaktadır.[2][3] Dizi, 25 Mart 2023 tarihinde yayımlanan 6. bölümüyle final yaparak sona ermiştir.[4]",1,6,Faruk Turgut,28 Ocak 2023 - 25 Mart 2023,,
"Dönence, Link",S.A yazı GrubuNuray UsluBanu YılmazHamza AkyıldızEbru Hacıoğluİbrahim GülerMelek Ordu,Serdar Gözelekli,Emre KınayCaner TopçuSümeyye AydoğanAtakan Hoşgören,Türkiye,Kanal D,Sona erdi,"Dönence, D Media imzalı, ilk bölümü 4 Temmuz 2023 tarihinde yayımlanan, yönetmenliğini Serdar Gözelekli'nin üstlendiği, senaryosunu Nuray Uslu, Banu Yılmaz, Hamza Akyıldız, Ebru Hacıoğlu, İbrahim Güler ve Melek Ordu'nun kaleme aldığı gençlik, romantik ve dram türündeki Türk televizyon dizisidir.[1] Başrollerini Emre Kınay, Caner Topçu, Sümeyye Aydoğan ve Atakan Hoşgören paylaşmaktadır.[2] İsrail dizisi olan Exceptional'dan uyarlanmıştır.[3] Dizi, 11 Ekim 2023 tarihinde yayımlanan 14. bölümüyle final yaparak sona erdi.[4]",1,14,Ali Cengiz Deveci,4 Temmuz 2023 - 11 Ekim 2023,,
"Dünya Bu, Link",Volkan ÖgeErman ÇağlarOzan Akyol,Ömer Sinir,Ali Erkazan,Türkiye,,Sona erdi,"Dünya Bu, AC Film ve Avşar Film imzalı, ilk bölümü 17 Mart 2023 tarihinde yayımlanan, yönetmenliğini Ömer Sinir’in üstlendiği, senaryosunu ise Volkan Öge, Erman Çağlar ve Ozan Akyol’un kaleme aldığı, her bölümü farklı skeçlerden oluşan komedi türündeki Türk yapımı internet dizisidir.[1] Dizi, 5 Mayıs 2023 tarihinde yayımlanan 8. bölümüyle final yaparak sona erdi.",1,8,Caner ÖzyurtluŞükrü Avşar,17 Mart 2023 - 5 Mayıs 2023,GAİN,
"EGO, Link","Gülsev Karagöz (1, 4-13)Zafer Özer Çetinel (1, 4-13)Görkem Tüzün (1, 4-13)Okan Başar Bahar (8-13)Ahmet Orçun Okşar (1, 4-5)Erkan Birgören (2-3)Elif Tuna Kıygı (2-3)",Doğa Can Anafarta (1-3)Şenol Sönmez (4-13),Alperen DuymazMelisa Aslı PamukAhmet KayakesenRüya Helin Demirbulut,Türkiye,FOX,Sona erdi,"EGO, Pastel Film imzalı, ilk bölümü 5 Şubat 2023[2] tarihinde yayımlanan, yönetmenliğini Doğa Can Anafarta’nın yaptığı, senaryosunu Gülsev Karagöz, Ahmet Orçun Okşar, Zafer Özer Çetinel, Görkem Tüzün, Okan Başar Bahar, Erkan Birgören ve Elif Tuna Kıygı'nın yazdığı, başrollerini Alperen Duymaz, Melisa Aslı Pamuk, Ahmet Kayakesen ve Rüya Helin Demirbulut'un paylaştığı dram türündeki Türk televizyon dizisidir. [3] 2014 yapımı Güney Kore dizisi olan Temptation'dan uyarlanmıştır. Dizi, 21 Mayıs 2023 tarihinde yayımlanan 13. bölümüyle final yaparak sona ermiştir.",1,13,Efe İrvülYaşar İrvül,5 Şubat 2023 - 21 Mayıs 2023,,
"Gülcemal, Link",Eda TezcanSelda Akın,Yusuf PirhasanMerve Çolak,Murat ÜnalmışMelis Sezen,Türkiye,FOX,Sona erdi,"Gülcemal, MF Yapım imzalı, ilk bölümü 6 Nisan 2023 tarihinde yayımlanan, yönetmenliğini Yusuf Pirhasan'ın üstlendiği, senaryosunu Eda Tezcan ve Selda Akın'ın kaleme aldığı dram türündeki Türk televizyon dizisidir.[1][2] Başrollerini Murat Ünalmış ve Melis Sezen paylaşmaktadır.[3] Dizi, 13 Temmuz 2023 tarihinde yayımlanan 13. bölümü ile final yaparak sona ermiştir.",1,13,Asena Bülbüloğlu,6 Nisan 2023 - 13 Temmuz 2023,,
"Hayatımın Neşesi, Link",Ekin Atalar,Şahin Altuğ,Şebnem BozokluTolga Tekin,Türkiye,TRT 1,Sona erdi,"Hayatımın Neşesi, Goya Entertainment imzalı, ilk bölümü 7 Temmuz 2023 tarihinde yayımlanan, yönetmenliğini Şahin Altuğ'un üstlendiği, senaryosunu Ekin Atalar'ın kaleme aldığı komedi türündeki Türk televizyon dizisidir.[1][2] Başrollerini Şebnem Bozoklu ile Tolga Tekin paylaşmaktadır.[3] Dizi, 7 Kasım 2023 tarihinde yayımlanan 18. bölümü ile final yaparak sona erdi.[4]",1,18,Merve ZorluGüneş Çelikcan,7 Temmuz 2023 - 7 Kasım 2023,,
"Hudutsuz Sevda, Link",Bahadır ÖzdenerBerna AruzHaydar Şişman,Murat Öztürk,Deniz Can AktaşMiray DanerEsra DermancıoğluBurak SergenBurak SevinçAsuman Dabak,Türkiye,FOX,Devam ediyor,"Hudutsuz Sevda, Medyapım imzalı, ilk bölümü 21 Eylül 2023 tarihinde yayımlanan, yönetmenliğini Murat Öztürk'ün üstlendiği, senaryosunu Bahadır Özdener'in kaleme aldığı dram türündeki Türk televizyon dizisidir.[2][3] Başrollerini Deniz Can Aktaş, Miray Daner, Esra Dermancıoğlu, Burak Sergen, Burak Sevinç ve Asuman Dabak paylaşmaktadır.[4]",1,14,Fatih AksoyMerve Girgin AytekinDirenç Aksoy Sidar,21 Eylül 2023 - günümüz,,
"Hür, Link",İlker ArslanBarış Erdoğan,Ekin Pandır,Hilmi Cem İntepeOgün KaptanoğluBatuhan DemirDeniz ÇatalbaşZeynep Tuğçe Bayat,Türkiye,,Yayımlandı,"Hür, ES Film tarafından yapımı üstlenilen, ilk bölümü 1 Aralık 2023 tarihinde yayımlanan,[1] senaryosunu İlker Arslan ile Barış Erdoğan'ın kaleme aldığı,[2] yönetmenliğini Ekin Pandır'ın üstlendiği,[3] başrollerini Hilmi Cem İntepe, Ogün Kaptanoğlu, Batuhan Demir, Zeynep Tuğçe Bayat ve Deniz Çatalbaş'ın paylaştığı macera ve aksiyon türündeki Türk yapımı internet dizisidir.[4]",1,10,Yusuf EsenkalSerdar Öğretici,1 Aralık 2023,tabii,
"Kader Bağları, Link",Sema Ali ErolMahir ErolTürküler ÖzgülRedife Zerener,Benal Tairi (1-4)Ersoy Güler (5),Serkan ÇayoğluAyça Ayşin Turan,Türkiye,FOX,Sona erdi,"Kader Bağları, Süreç Film imzalı, ilk bölümü 30 Eylül 2023 tarihinde yayımlanan, yönetmenliğini Benal Tairi ve Ersoy Güler'in üstlendiği, senaryosunu Sema Ali Erol, Mahir Erol, Türküler Özgül Akad ve Redife Zerener'in kaleme aldığı dram türündeki Türk televizyon dizisidir.[1][2] Başrollerini Serkan Çayoğlu ve Ayça Ayşin Turan paylaşmaktadır.[3] Dizi, 28 Ekim 2023 tarihinde yayımlanan 5. bölümü ile final yaparak sona ermiştir.[4]",1,5,Ali Gündoğduİsmail Gündoğdu,30 Eylül 2023 - 28 Ekim 2023,,
"Kendi Düşen Ağlamaz, Link",Gülbike Sonay Üte (1-)Tuna Kıygı (1-16)Fulya Emek Tanrıkulu (4-)Damla Güçer (17-)Samed Aslan (17-)Eda Daş Karakoç (18-),Emre Kabakuşak İnci Balabanoğlu Ahıska,Hakan YılmazSelen SoyderEnes KoçakEylül Tumbar,Türkiye,TRT 1,Devam ediyor,"Kendi Düşen Ağlamaz, NGM imzalı, ilk bölümü 22 Haziran 2023 tarihinde yayımlanan, yönetmenliğini Emre Kabakuşak ve İnci Balabanoğlu Ahıska'nın üstlendiği, senaryosunu Gülbike Sonay Üte ve Tuna Kıygı'nın kaleme aldığı romantik komedi türündeki Türk televizyon dizisidir.[1][2] Başrollerini Hakan Yılmaz, Selen Soyder, Enes Koçak ve Eylül Tumbar paylaşmaktadır.[3] Dizi, Ayşegül Çiçekoğlu'nun 2017 yılında yayımlanan aynı adlı romanından uyarlanmıştır. Dizi, 4 Ocak 2024 tarihinde yayımlanacak olan 27. bölümüyle final yaparak sona erecektir.[4]",1,26,Nazlı HeptürkUğur Türkmen,22 Haziran 2023 - 4 Ocak 2024,,
"Kısmet, Link",Mahinur ErgunYusuf Reha Alp,Semih BağcıGül Sarıaltın,Cem GelinoğluÖzge ÖzacarCenan AdıgüzelSerdar Orçin,Türkiye,FOX,Sona erdi,"Kısmet, NTC Medya imzalı, ilk bölümü 16 Haziran 2023 tarihinde yayımlanan,[1] yönetmenliğini Semih Bağcı ve Gül Sarıaltın'ın üstlendiği, senaryosunu Mahinur Ergun ve Yusuf Reha Alp'ın kaleme aldığı romantik komedi türündeki Türk televizyon dizisidir.[2] Başrollerini Cem Gelinoğlu, Özge Özacar, Cenan Adıgüzel ve Serdar Orçin paylaşmaktadır.[3] Dizi, 25 Ağustos 2023 tarihinde yayımlanan 10. bölümüyle final yaparak sona erdi.[4]",1,10,Fatih AksoyMehmet Yiğit Alp,16 Haziran 2023 - 25 Ağustos 2023,,
"Kızıl Goncalar, Link",Şükrü Necati Şahin,Ömür Atay (1-)Özgür Sevimli (2-),Özgü NamalÖzcan Deniz,Türkiye,FOX,Ara verdi,"Kızıl Goncalar, Gold Film imzalı, ilk bölümü 18 Aralık 2023 tarihinde yayımlanan, yönetmenliğini Ömür Atay ve Özgür Sevimli'nin üstlendiği, senaryosunu Şükrü Necati Şahin'in kaleme aldığı, dram türündeki Türk televizyon dizisidir.[1] Başrollerinde Özgü Namal ve Özcan Deniz yer almaktadır.[2][3]",1,2,Faruk Turgut,18 Aralık 2023 - günümüz,,
Kızılelma,Ozan BodurEnes ŞengönülCihan BozkayaBarış Kurt,Kamil Aydın,Miraç SözerMurat GaripağaoğluEmre BaşerHakan Vanlı,Türkiye,,Yayımlandı,,1,8,Kemal TekdenNurbanu Tekden,7 Mayıs 2023,tabii,
"Kirli Sepeti, Link",Merve Girgin Aytekin (1-6)Nermin Yıldırım (7-),Ece Erdek Koçoğlu,Ayça BingölCeren MorayCansu Tosun,Türkiye,FOX,Devam ediyor,"Kirli Sepeti, Medyapım imzalı, ilk bölümü 24 Eylül 2023 tarihinde yayınlanan, yönetmenliğini Ece Erdek Koçoğlu'nun üstlendiği, senaryosunu ilk olarak Merve Girgin Aytekin'in daha sonra ise Nermin Yıldırım'ın kaleme aldığı dram türündeki Türk yapımı televizyon dizisidir.[1][2] Dizinin başrollerini Ayça Bingöl, Ceren Moray ve Cansu Tosun paylaşmaktadır.[3]",1,13,Fatih AksoyMerve Girgin AytekinDirenç Aksoy Sidar,24 Eylül 2023 - günümüz,,
"Kod Adı Kırlangıç, Link",Sümeyye Karaaslan,Emir Khalilzadeh,Serkan Şenalp Gizem ArıkanKorhan Herduran,Türkiye,TRT 1,Devam ediyor,"Kod Adı Kırlangıç, Zera Medya imzalı, ilk bölümü 12 Kasım 2023 tarihinde yayımlanan komedi ve teknoloji türündeki Türk televizyon dizisidir.",1,8,Şeyma Eraz Çelik,12 Kasım 2023 - günümüz,,
"Kraliçe, Link",Serdar Soydan (1)Kerem Bozok (1)Ekin Akçay (1)Nil Güleç Ünsal (2-11) Özlem İnci Hekimoğlu (2-11),"Cevdet Mercan (1-8, 11)Serhan Şahin (9-10)",Burcu ÖzberkGökhan AlkanSelin ŞekerciÖzgün Karaman,Türkiye,Kanal D,Sona erdi,"Kraliçe, Mednova imzalı, ilk bölümü 22 Mart 2023 tarihinde yayımlanan,[1] yönetmenliğini Cevdet Mercan ve Serhan Şahin'in üstlendiği dram türündeki Türk televizyon dizisidir.[2] Başrollerini Burcu Özberk, Gökhan Alkan, Selin Şekerci ve Özgün Karaman paylaşmaktadır. Dizi, 7 Haziran 2023 tarihinde yayımlanan 11. bölümüyle final yaparak sona erdi.[3]",1,11,Selen SevigenGülümsün Özkök,22 Mart 2023 - 7 Haziran 2023,,
"Magarsus, Link",Yunus Ozan KorkutMustafa Yürüktümen,Yunus Ozan Korkut,Ercan KesalBerkay AteşÇağlar ErtuğrulMerve Dizdar,Türkiye,,Sezon arası,"Magarsus, Yunus Ozan Korkut'un yönetip, senaryosunu Mustafa Yürüktümen'le birlikte yazdığı Türk yapımı dram türündeki internet dizisidir.[1]",1,8,Yamaç OkurSerkan Çakarer,10 Ağustos 2023 - 21 Eylül 2023,BluTV,
Mahsusa,Ozan BodurEnes Şengönül,Şafak Bal,,Türkiye,,Yayınlandı,,1,10,Raif İnanUğur Veli,29 Ekim 2023 - 22 Aralık 2023,tabii,
"Maviye Sürgün, Link",Murat Dişli (1-25)Barış Erdoğan (1-10)İlker Arslan (1-10)Ali Ercivan (1-2)Alper Atalan (1-2)Gamze Arslan (11-25)Meriç Demiray (11-25)Volkan Yazıcı (11-25),Nezaket Coşkun,Caner CindorukDamla SönmezSerkan Altunorak,Türkiye,Show TV (1-13),Sona erdi,"Maviye Sürgün, O3 Medya imzalı, ilk bölümü 12 Haziran 2023 tarihinde yayımlanan dram türündeki Türk televizyon ve internet dizisidir.[1][2] Başrollerini Caner Cindoruk, Damla Sönmez ve Serkan Altunorak paylaşmaktadır.[3] Dizi, 6 Aralık 2023 tarihinde yayımlanan 25. bölümü ile final yaparak sona ermiştir.",1,25,Saner AyarKaren Barroeta,12 Haziran 2023 - 6 Aralık 2023,YouTube (14-25),
"Ne Gemiler Yaktım, Link",Banu Kiremitçi Bozkurt,Altan Dönmez,Deniz Baysal YurtcuDevrim ÖzkanErkan Kolçak KöstendilBerk Hakman,Türkiye,Show TV,Ara verdi,"Ne Gemiler Yaktım, Ay Yapım imzalı, ilk bölümü 4 Aralık 2023 tarihinde yayımlanan, yönetmenliğini Altan Dönmez'in üstlendiği, senaryosunu Banu Kiremitçi Bozkurt'un kaleme aldığı dram türündeki Türk televizyon dizisidir.[1][2] Başrollerini Deniz Baysal Yurtcu, Devrim Özkan, Erkan Kolçak Köstendil ve Berk Hakman paylaşmaktadır.[3]",1,4,Kerem Çatay,4 Aralık 2023 - günümüz,,
"Ömer, Link",Gülizar Irmak (1-32)Deniz Madanoğlu (32-)Sedef Bayburtluoğlu Gürerk (32-),Cem Karcı,Selahattin PaşalıGökçe BahadırMerve DizdarBarış Falay,Türkiye,Star TV,Ara verdi,"Ömer, OGM Pictures imzalı, ilk bölümü 9 Ocak 2023 tarihinde yayımlanan,[1][2] yönetmenliğini Cem Karcı'nın üstlendiği, senaryosunu Gülizar Irmak, Deniz Madanoğlu ve Sedef Bayburtluoğlu Gürerk'in kaleme aldığı dram türündeki Türk televizyon dizisidir. Başrollerini Selahattin Paşalı, Gökçe Bahadır, Merve Dizdar ve Barış Falay paylaşmaktadır. Dizi, bir İsrail yapımı olan Shtisel dizisinden uyarlanmaktadır.[3][4]",2,37,Onur Güvenatam,9 Ocak 2023 - günümüz,,
"Prens, Link",Giray AltınokKerem Özdoğan,Bülent İşbilen,Giray AltınokSerdar OrçinHüseyin Avni DanyalCeyda Düvenci,Türkiye,,Sezon arası,"Prens, MGX Film imzalı dizide prens karakterini Giray Altınok canlandırırken, diğer karakterlerde ise Ceyda Düvenci, Serdar Orçin, Derya Pınar Ak, Çağdaş Onur Öztürk, Aslı Tandoğan,[1] Hüseyin Avni Danyal gibi isimler eşlik etmiştir. Bülent İşbilen'in yönettiği komedi türündeki Türk internet dizisidir.[2] Oyuncu Giray Altınok'un sosyal medya hesabında doğan karakterin zamanla ilgi görmesi, karakteri dizi projesine dönüştürmüştür.[3] Dizinin ilk bölüm galası katılımcılar ve ekiple birlikte UNIQ İstanbul'da yapıldı.[4]",1,8,Müşvik Guluzade,16 Haziran 2023 - günümüz,BluTV,
"Ruhun Duymaz, Link",Ayşe Üner Kutlu (1-9)Deniz Gürlek (2-9)Dilek İyigün (2-9),Aytaç Çiçek,Burcu ÖzberkŞükrü Özyıldız,Türkiye,FOX,Sona erdi,"Ruhun Duymaz, O3 Medya imzalı, ilk bölümü 24 Temmuz 2023 tarihinde yayımlanan, yönetmenliğini Aytaç Çiçek'in üstlendiği, senaryosunu Ayşe Üner Kutlu'nun kaleme aldığı romantik komedi türündeki Türk televizyon dizisidir.[1][2] Başrollerini Burcu Özberk ve Şükrü Özyıldız paylaşmaktadır.[3] Dizi, 23 Eylül 2023 tarihinde yayımlanan 9. bölümüyle final yaparak sona erdi.[4]",1,9,Saner Ayar,24 Temmuz 2023 - 23 Eylül 2023,,
"Safir, Link",Burcu Över (1-12)Gül Abus Semerci (1-)Nalan Merter Savaş (10-)Onur Koçal (13-),Semih Bağcı,İlhan ŞenÖzge YağızBurak Berkay AkgülGizem Karaca,Türkiye,atv,Devam ediyor,"Safir, NTC Medya imzalı, ilk bölümü 4 Eylül 2023 tarihinde yayımlanan, yönetmenliğini Semih Bağcı'nın üstlendiği, senaryosunu Burcu Över'in kaleme aldığı dram türündeki Türk televizyon dizisidir.[1][2] Başrollerini İlhan Şen, Özge Yağız, Gizem Karaca ve Burak Berkay Akgül paylaşmaktadır.[3]",1,18,Fatih AksoyMehmet Yiğit Alp,4 Eylül 2023 - günümüz,,
"Sakla Beni, Link",Armağan Gülşahin (1-)Elif Başaran (1-3)Fuat Mete (3-4)Nergis Otluoğlu Akoğlu (4-),Nadim Güç,Uraz KaygılaroğluCemre BayselAsude Kalebek,Türkiye,Star TV,Devam ediyor,"Sakla Beni, OGM Pictures imzalı, ilk bölümü 2 Kasım 2023 tarihinde yayımlanan, yönetmenliğini Nadim Güç'ün üstlendiği, senaryosunu Armağan Gülşahin ve Nergis Otluoğlu Akoğlu'nun kaleme aldığı dram türündeki Türk televizyon dizisidir.[1][2] Başrollerini Uraz Kaygılaroğlu, Cemre Baysel ve Asude Kalebek paylaşmaktadır.[3]",1,9,Onur Güvenatam,2 Kasım 2023 - günümüz,,
"Sen, Ben, O!, Link",Halil Tekeş,Emre Bahadır Çırakoğlu,Başak GümülcinelioğluÇağrı Çıtanak,Türkiye,,Yayımlandı,"Sen, Ben, O, ilk bölümü 21 Mart 2023 tarihinde yayımlanan, 8 bölümlük romantik komedi türündeki Türk yapımı internet dizisidir.[1]",1,8,Hülya Sepken,21 Mart 2023,BluTV,
